canonical_smiles,standard_value,activity
COc1c(C(C)(C)C)cc(C(=O)/C=C/c2ccccc2)cc1C(C)(C)C,9000.0,1
COc1cc(/C=C/C(=O)c2cc(OC)c(OCc3ccc4c(c3)OCO4)c(OC)c2)cc(OC)c1OC,3000.0,1
O=C(/C=C/c1ccc(F)cc1)c1ccc(F)cc1,25000.0,0
COc1ccc(-c2cccs2)cc1/C=C/C(=O)c1ccc(OCc2ccc(C(=O)O)cc2)c(OC)c1,5000.0,1
COc1cc(/C=C/C(=O)c2ccc3c(c2)OC(O)(O)O3)cc(-c2cccs2)c1OC,1000.0,1
COc1cc(OC)c(/C=C/C(=O)c2cc(OC)c(OC)c(OC)c2)cc1Br,2000.0,1
COc1ccc(OC)c(C(=O)/C=C/c2cc(-c3cccs3)ccc2OC)c1,2000.0,1
COc1cc(OC)c(-c2cc3ccccc3s2)cc1/C=C/C(=O)c1ccc(OC(C)(C)C(=O)O)cc1,6000.0,1
COc1cc(OCC(=O)O)c(/C=C/C(=O)c2ccccc2)cc1-c1cc2ccccc2s1,1000.0,1
COc1cc(C(=O)/C=C/c2cc(-c3cccs3)ccc2OC)ccc1O,7000.0,1
COc1ccc(/C=C/C(=O)c2cc(C(C)(C)C)c(OC)c(C(C)(C)C)c2)cc1,17000.0,0
COc1ccc(-c2cccs2)cc1/C=C/C(=O)c1cc(OC)c(OCC(=O)O)c(OC)c1,1000.0,1
COc1ccc(-c2cc(C)cs2)cc1/C=C/C(=O)c1cc(OC)c(OC)c(OC)c1,2000.0,1
COc1ccc(-c2cc3ccccc3s2)cc1/C=C/C(=O)c1cc(OC)c(OC)c(OC)c1,2000.0,1
COC1=C(c2c(OC)cc(C(=O)/C=C/c3cc(OC)c(OC)c(OC)c3)cc2OC)Oc2ccccc2O1,2000.0,1
COc1cc(-c2cccs2)ccc1C(=O)/C=C/c1ccc(F)c(F)c1,2000.0,1
COc1ccc(C(=O)/C=C/c2ccccc2)cc1,14000.0,0
COc1cc(C(=O)/C=C/c2cc(OC)c(OC)c(-c3ccc(C(C)=O)s3)c2)cc(OC)c1OC,3000.0,1
COc1cc(/C=C/C(=O)c2cc(OC)c(OCc3cc(OC)c(OC)c(OC)c3)c(OC)c2)cc(OC)c1OC,3000.0,1
COc1cc(OC)c(C(=O)/C=C/c2cc(-c3cccs3)ccc2OC)c(OC)c1,3000.0,1
COc1cc(/C=C/C(=O)c2cc(OC)c(OC)c(OC)c2)cc(Br)c1OC,4000.0,1
COc1ccc(-c2cccs2)cc1/C=C/C(=O)c1ccc(OCc2ccc(N)cc2)c(OC)c1,7000.0,1
COc1ccc(C(=O)/C=C/c2ccccc2)cc1OC,8000.0,1
COc1cc(OC)c(-c2cc3ccccc3s2)cc1/C=C/C(=O)c1cc(OC)c(OCC2CC2)c(OC)c1,50000.0,0
CCOC(=O)c1ccc(COc2ccc(C(=O)/C=C/c3cc(-c4cccs4)ccc3OC)cc2OC)cc1,4000.0,1
COc1ccc(Br)cc1CCC(=O)c1cc(OC)c(OC)c(OC)c1,50000.0,0
COc1ccc(-c2cccs2)cc1/C=C/C(=O)c1cc(OC)c(OC)c(OC)c1,3000.0,1
COc1cc(OC)c(-c2cc3ccccc3s2)cc1/C=C/C(=O)c1ccc(OC)c(OC)c1OC,8000.0,1
COc1cc(OC)c(C(=O)/C=C/c2cc(Br)c(OC)c(OC)c2)cc1OC,2000.0,1
COc1ccc(-c2cc(C)cs2)cc1/C=C/C(=O)c1ccc2c(c1)OCO2,4000.0,1
COc1ccc(COc2c(OC)cc(C(=O)/C=C/c3cc(OC)c(OC)c(OC)c3)cc2OC)cc1OC,2000.0,1
COc1cc(C(=O)/C=C/c2ccccc2)cc(OC)c1OC,6000.0,1
COc1ccc(-c2cccs2)cc1/C=C/C(=O)c1ccccc1,5000.0,1
COc1ccc(-c2cc3ccccc3s2)cc1/C=C/C(=O)c1ccc(OC)c(OC)c1,2000.0,1
COc1cc(OC)c(-c2cccs2)cc1/C=C/C(=O)c1ccc(OC)c(OC)c1OC,2000.0,1
O=C(/C=C/c1ccc(F)c(-c2cccs2)c1)c1ccc(F)cc1,4000.0,1
COc1ccc(-c2cccs2)cc1/C=C/C(=O)c1ccc(OC)c(OC)c1,3000.0,1
COc1ccc(C(=O)/C=C/c2cc(-c3cc4ccccc4s3)ccc2OC)cc1,3000.0,1
COc1cc(C(=O)/C=C/c2cc(OC)c(OC)c(-c3cccs3)c2)cc(OC)c1OCC(=O)O,1000.0,1
COc1cc(C(=O)/C=C/c2ccc(-c3cccs3)cc2)cc(OC)c1OC,6000.0,1
COc1ccc(-c2cc(C)cs2)cc1/C=C/C(=O)c1ccc(OC)c(OC)c1,2000.0,1
COc1ccc(/C=C/C(=O)c2ccc(OC)c(OC)c2)cc1,6000.0,1
COc1cc(/C=C/C(=O)c2cc(OC)c(OCc3ccccc3)c(OC)c2)cc(Br)c1OC,50000.0,0
COc1ccc(-c2cccs2)cc1/C=C/C(=O)c1ccc2c(c1)OCO2,4000.0,1
COc1ccc(C(=O)/C=C/c2ccc(-c3cccs3)cc2)cc1OC,12000.0,0
COC1=C(c2ccc(C(=O)/C=C/c3cc(OC)c(OC)c(OC)c3)cc2OC)Oc2ccccc2O1,4000.0,1
COc1cc(/C=C/C(=O)c2cc(OC)c(OCc3ccco3)c(OC)c2)cc(OC)c1OC,3000.0,1
COc1cc(OC)c(-c2cc3ccccc3s2)cc1/C=C/C(=O)c1ccc(SCC(=O)O)cc1,1000.0,1
COc1cc(OC)c(-c2cc3ccccc3s2)cc1/C=C/C(=O)c1ccc(NC2OC(CO)C(O)C(O)C2O)cc1,17000.0,0
COc1ccc(Br)cc1/C=C/C(=O)c1cc(OC)c(OC)c(OC)c1,1000.0,1
CC(C)(C)c1cc(C(=O)/C=C/c2ccccc2)cc(C(C)(C)C)c1O,47000.0,0
CCOc1ccc(/C=C/C(=O)c2cc(-c3cccs3)ccc2OC)cc1F,4000.0,1
COc1ccc(C(=O)/C=C/c2ccc(OC)cc2OC)cc1,29000.0,0
COc1ccc(/C=C/C(=O)c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc1,50000.0,0
COc1ccc(C(=O)/C=C/c2cc(-c3cccs3)ccc2OC)cc1,3000.0,1
COc1ccc(COc2c(OC)cc(C(=O)/C=C/c3cc(OC)c(OC)c(OC)c3)cc2OC)cc1,1000.0,1
COc1ccc(-c2cccs2)cc1/C=C/C(=O)c1ccc(OCc2ccccn2)c(OC)c1,3000.0,1
O=C(/C=C/c1ccccc1)c1ccccc1,23000.0,0
COc1ccc(-c2cccs2)cc1/C=C/C(=O)c1ccc(OCc2ccncc2)c(OC)c1,4000.0,1
COc1cc(OC)c(CCC(=O)c2cc(OC)c(OC)c(OC)c2)cc1Br,50000.0,0
COc1ccc(C(=O)/C=C/c2ccc(OC)c(OC)c2)cc1,15000.0,0
COc1ccc(-c2ccc(C)s2)cc1/C=C/C(=O)c1ccc2c(c1)OCO2,3000.0,1
COc1cc(-c2cccc(C(C)=O)c2)ccc1C(=O)/C=C/c1cc(OC)c(OC)c(OC)c1,4000.0,1
COc1cc(/C=C/C(=O)c2cc(OC)c(OCc3cccs3)c(OC)c2)cc(OC)c1OC,3000.0,1
COc1cc(OC)c(-c2cc3ccccc3s2)cc1/C=C/C(=O)c1cc(OC)c(OC)c(OC)c1,5000.0,1
COc1ccc(COc2ccc(C(=O)/C=C/c3cc(OC)c(OC)c(OC)c3)cc2OC)cc1OC,2000.0,1
COc1ccc(-c2cccs2)cc1/C=C/C(=O)c1ccc(OCc2ccc(NC(=O)OC(C)(C)C)cc2)c(OC)c1,50000.0,0
COc1cc(OC(C)(C)C(=O)O)c(/C=C/C(=O)c2ccc(C(F)(F)F)cc2)cc1-c1cccs1,4000.0,1
COc1ccc(/C=C/C(=O)c2ccc(OC)cc2OC)cc1,7000.0,1
COc1cc(OC)cc(C(=O)/C=C/c2cc(-c3cccs3)ccc2OC)c1,2000.0,1
COc1ccc(-c2ccc(C)s2)cc1/C=C/C(=O)c1cc(OC)c(OC)c(OC)c1,2000.0,1
COCCOc1c(OC)cc(C(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)cc1OC,5000.0,1
COc1ccc(-c2ccc(C)s2)cc1/C=C/C(=O)c1ccc(OC)c(OC)c1,2000.0,1
COc1ccc(-c2cccs2)cc1/C=C/C(=O)c1c(OC)cccc1OC,3000.0,1
CCOc1cc(OCC)c(C(=O)/C=C/c2cc(Br)c(OC)c(OC)c2)cc1OCC,15000.0,0
COc1ccc(-c2cc(C(=O)/C=C/c3cc(OC)c(OC)c(OC)c3)c(OC)cc2OC)c(OC)c1,3000.0,1
COc1ccc(-c2cccs2)cc1/C=C/C(=O)c1ccc(OCc2cccnc2)c(OC)c1,3000.0,1
COc1cc(OC)c(-c2cc3ccccc3s2)cc1/C=C/C(=O)c1cc(OC)c(O)c(OC)c1,1000.0,1
COc1cc(OC)c(-c2cc3ccccc3s2)cc1/C=C/C(=O)c1ccc(OC)c(OC)c1,11000.0,0
C=CCN1C(=O)c2cc3c(OC)cc(OC)cc3n2C1=S,280.0,1
CCN1C(=O)C(=Cc2c[nH]c3ccccc23)C(=O)N(CC)C1=S,1000.0,1
CCN1C(=O)c2cc3c(OC)cc(OC)cc3n2C1=S,1000.0,1
CCN1C(=O)C(=Cc2c[nH]c3ccc(OCc4ccccc4)cc23)C(=O)N(CC)C1=S,400.0,1
C=CCN1C(=O)n2c(c(C)c3c(OC)cc(OC)cc32)C1=S,210.0,1
CN1C(=O)C(=Cc2c[nH]c3ccccc23)C(=O)N(C)C1=S,13000.0,0
CCN1C(=O)C(=Cc2ccc(C)s2)C(=O)N(CC)C1=S,3400.0,1
CCN1C(=O)C(=Cc2ccc(-c3ccccc3C(F)(F)F)o2)C(=O)N(CC)C1=S,2000.0,1
O=C1C(=Cc2ccc(-c3ccccc3C(F)(F)F)o2)C(=O)N(c2ccccc2)C(=S)N1c1ccccc1,11000.0,0
CCN1C(=O)C(=Cc2ccc(Br)s2)C(=O)N(CC)C1=S,4500.0,1
C=CCN1C(=O)n2c(cc3c(OC)cc(OC)cc32)C1=S,610.0,1
CCN1C(=O)/C(=C/c2ccc(-c3ccsc3C(=O)OC)o2)SC1=S,300.0,1
CCN1C(=O)c2cc3c(OC)cc(OCC(=O)OC(C)(C)C)cc3n2C1=S,390.0,1
C=CCN1C(=O)c2c(C)c3c(OC)cc(OC)cc3n2C1=S,1100.0,1
COc1cc(OC)c2cc3n(c2c1)C(=S)N(CCc1ccccc1)C3=O,1900.0,1
CCN1C(=O)C(=Cc2ccc(-c3ccsc3C(=O)OC)o2)C(=O)N(CC)C1=S,2800.0,1
CCN1C(=O)c2cc3c(OC)cc(OCOC)cc3n2C1=S,280.0,1
COc1cc(OC)c2cc3n(c2c1)C(=S)N(CCCN1CCOCC1)C3=O,670.0,1
CCN1C(=O)C(=Cc2c[nH]c3c(C)cccc23)C(=O)N(CC)C1=S,600.0,1
C=CCN1C(=O)c2cc3c(OC)cccc3n2C1=S,2100.0,1
CCN1C(=O)c2cc3c(OC)cc(OCc4ccccn4)cc3n2C1=S,310.0,1
Cc1ccccc1N1C(=O)C(=Cc2c[nH]c3ccccc23)C(=O)N(c2ccccc2C)C1=S,790.0,1
CCN1C(=O)C(=Cc2c[nH]c3ccc([N+](=O)[O-])cc23)C(=O)N(CC)C1=S,5500.0,1
COC(=O)c1sccc1-c1ccc(C=C2C(=O)N(c3ccccc3)C(=S)N(c3ccccc3)C2=O)o1,40000.0,0
C=CCN1C(=S)c2c(C)c3c(OC)cc(OC)cc3n2C1=S,210.0,1
Cc1ccccc1N1C(=O)/C(=C/c2c[nH]c3ccccc23)C(=O)NC1=S,1800.0,1
CCN1C(=O)/C(=C/c2ccc(-c3cc(C(F)(F)F)nn3C)s2)SC1=S,140.0,1
CCN1C(=O)C(=Cc2cc3ccccc3[nH]2)C(=O)N(CC)C1=S,10200.0,0
CCN1C(=O)C(=Cc2sccc2C)C(=O)N(CC)C1=S,14100.0,0
C=CCN1C(=O)c2cc3ccc(OC)cc3n2C1=S,1700.0,1
CCN1C(=O)C(=Cc2cn(C)c3ccccc23)C(=O)N(CC)C1=S,130.0,1
CCN1C(=O)/C(=C/c2ccc(-c3ccccc3C(F)(F)F)o2)SC1=S,320.0,1
C=CCN1C(=O)c2cc3c(OC)c(OC)c(OC)cc3n2C1=S,780.0,1
CS(=O)(=O)c1ccc(CNCc2cc(C(=O)O)c(Nc3ccc(I)cc3F)c(F)c2F)cc1,2000.0,1
NC(=O)C[C@H](N)C(=O)NCc1cc(C(=O)O)c(Nc2ccc(I)cc2F)c(F)c1F,13000.0,0
O=C(N/N=C/c1cc(C(=O)O)c(Nc2ccc(I)cc2F)c(F)c1F)c1ccc(CO)o1,20000.0,0
